Year,Month,Date,Category,Value_Index,Volume_Index,Value_Volume_Index,Composite_CPI_Index,YoY_Change,Unit_Price_Trend,All_Retail_Price_Index,Total_Visitors,Table_Ref,Index_Label
2014,,2014,all,99.2,148.4,0.6684636118598383,88.3,4.4,0.6684636118598383,66.85,121677672.0,620-67002 / 620-67003,All Retail
2014,,2014,jewellery,298.6,310.1,0.962915188648823,88.3,4.4,0.962915188648823,,121677672.0,620-67002 / 620-67003,"Jewellery, Watches, Clocks & Valuable Gifts"
2015,,2015,all,105.0,146.2,0.7181942544459645,91.0,3.0,0.7181942544459645,71.82,118615192.0,620-67002 / 620-67003,All Retail
2015,,2015,jewellery,252.2,274.2,0.9197665937272064,91.0,3.0,0.9197665937272064,,118615192.0,620-67002 / 620-67003,"Jewellery, Watches, Clocks & Valuable Gifts"
2016,,2016,all,106.9,135.8,0.7871870397643593,93.2,2.4,0.7871870397643593,78.72,113309806.0,620-67002 / 620-67003,All Retail
2016,,2016,jewellery,208.7,226.6,0.9210061782877317,93.2,2.4,0.9210061782877317,,113309806.0,620-67002 / 620-67003,"Jewellery, Watches, Clocks & Valuable Gifts"
2017,,2017,all,110.2,138.4,0.796242774566474,94.6,1.5,0.796242774566474,79.62,116944314.0,620-67002 / 620-67003,All Retail
2017,,2017,jewellery,219.5,235.8,0.9308736217133163,94.6,1.5,0.9308736217133163,,116944314.0,620-67002 / 620-67003,"Jewellery, Watches, Clocks & Valuable Gifts"
2018,,2018,all,115.4,148.9,0.7750167897918065,96.8,2.4,0.7750167897918065,77.5,130295110.0,620-67002 / 620-67003,All Retail
2018,,2018,jewellery,249.6,266.4,0.936936936936937,96.8,2.4,0.936936936936937,,130295110.0,620-67002 / 620-67003,"Jewellery, Watches, Clocks & Valuable Gifts"
2019,,2019,all,111.5,130.5,0.8544061302681992,99.6,2.9,0.8544061302681992,85.44,111825218.0,620-67002 / 620-67003,All Retail
2019,,2019,jewellery,193.7,203.2,0.953248031496063,99.6,2.9,0.953248031496063,,111825218.0,620-67002 / 620-67003,"Jewellery, Watches, Clocks & Valuable Gifts"
2020,,2020,all,97.3,97.3,1.0,99.9,0.3,1.0,100.0,7137750.0,620-67002 / 620-67003,All Retail
2020,,2020,jewellery,89.1,87.7,1.0159635119726338,99.9,0.3,1.0159635119726338,,7137750.0,620-67002 / 620-67003,"Jewellery, Watches, Clocks & Valuable Gifts"
2021,,2021,all,94.7,103.6,0.9140926640926642,101.4,1.6,0.9140926640926642,91.41,182796.0,620-67002 / 620-67003,All Retail
2021,,2021,jewellery,113.4,106.4,1.0657894736842106,101.4,1.6,1.0657894736842106,,182796.0,620-67002 / 620-67003,"Jewellery, Watches, Clocks & Valuable Gifts"
2022,,2022,all,94.8,100.1,0.9470529470529471,103.3,1.9,0.9470529470529471,94.71,1209128.0,620-67002 / 620-67003,All Retail
2022,,2022,jewellery,113.5,105.4,1.0768500948766604,103.3,1.9,1.0768500948766604,,1209128.0,620-67002 / 620-67003,"Jewellery, Watches, Clocks & Valuable Gifts"
2023,,2023,all,98.7,113.9,0.8665496049165935,105.5,2.1,0.8665496049165935,86.65,67999320.0,620-67002 / 620-67003,All Retail
2023,,2023,jewellery,175.8,160.5,1.0953271028037384,105.5,2.1,1.0953271028037384,,67999320.0,620-67002 / 620-67003,"Jewellery, Watches, Clocks & Valuable Gifts"
2024,,2024,all,95.6,103.7,0.9218900675024108,107.3,1.7,0.9218900675024108,92.19,89005574.0,620-67002 / 620-67003,All Retail
2024,,2024,jewellery,150.2,131.4,1.1430745814307457,107.3,1.7,1.1430745814307457,,89005574.0,620-67002 / 620-67003,"Jewellery, Watches, Clocks & Valuable Gifts"
